algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 120)",10,0.99971,1.0,1.0,0.08592389,2018.9522262629894,0.48851967,0.6690144,0.7453081,0.8080013,0.0,75.0686559677124,10.0,205632.0,101.85084982452393,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 20)",10,0.9867800000000001,0.9978300000000001,0.9999,0.085969806,6102.912321591147,0.16117096,0.22292137,0.2567768,0.3027944,0.0,75.0686559677124,10.0,205632.0,33.694077378845215,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 200)",10,0.99985,1.0,1.0,0.085923105,1410.3813829969495,0.6958246,0.9670376,1.0771775,1.2626662,0.0,75.0686559677124,10.0,205632.0,145.79886155548095,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 40)",10,0.9973699999999999,0.99979,1.0,0.08593283,4161.567445844013,0.23770332,0.32258034,0.36001438,0.4100802,0.0,75.0686559677124,10.0,205632.0,49.412151232910155,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 400)",10,0.9999499999999999,1.0,1.0,0.08592284,897.3217806143508,1.0979176,1.5013455,1.65272,1.8043584,0.0,75.0686559677124,10.0,205632.0,229.16193994445803,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 600)",10,0.99996,1.0,1.0,0.08592281,683.0501152592026,1.445651,1.9545674,2.1548295,2.3398418,0.0,75.0686559677124,10.0,205632.0,301.04965273590085,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 80)",10,0.9993399999999999,0.99992,1.0,0.08592613,2647.892947020664,0.37169456,0.50878525,0.5705403,0.655415,0.0,75.0686559677124,10.0,205632.0,77.65872870025635,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 24, 'efConstruction': 500}, 'efQuery': 800)",10,0.99996,1.0,1.0,0.08592281,550.7819617772942,1.7926693,2.411151,2.652909,3.2284427,0.0,75.0686559677124,10.0,205632.0,373.3455600769043,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 10)",10,0.9509299999999999,0.9874,0.99963,0.08610415,8042.125874115148,0.11968613,0.17356873,0.20432937,0.25582314,0.0,76.04919409751892,10.0,210816.0,26.21396423034668,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 120)",10,0.99975,1.0,1.0,0.085923776,1951.4961339773888,0.50115585,0.71527946,0.80204475,0.88787943,0.0,76.04919409751892,10.0,210816.0,108.02788503112794,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 20)",10,0.98751,0.9977199999999999,0.99963,0.08598059,5911.57855332142,0.16570091,0.2360344,0.27227402,0.3120906,0.0,76.04919409751892,10.0,210816.0,35.66154083862305,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 200)",10,0.9998699999999999,1.0,1.0,0.08592306,1385.0397162888712,0.70667267,1.0044694,1.1138916,1.2707787,0.0,76.04919409751892,10.0,210816.0,152.2093536529541,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 40)",10,0.99752,0.99971,0.9999,0.08593937,3910.6679466322953,0.24986267,0.35811657,0.40627223,0.4720688,0.0,76.04919409751892,10.0,210816.0,53.90792644042969,fashion-mnist-784-euclidean
